idx,abstract,true_domain,predicted_domain,true_area,predicted_area
24,A thermotolerant bacterium Paenibacillus thiaminolyticus with an ability to produce extracellular -mannanase was isolated from a soil sample. Bacterium produced 45U/mL -mannanase at 50 degrees C. The culture conditions for high-level production of -mannanase were optimized. Optimized MS medium [wheat bran 2% (w/v). ammonium sulfate 0.3% (w/v). yeast extract. and peptone (0.025% each) pH 6.5] was inoculated with 2% of 16H old culture. The culture was incubated at 50 degrees C for 48H resulting in 24-folds higher -mannanase production (1.100 +/- 50U/mL). Optimum pH and temperature for enzyme activity of the crude enzyme was 6.0 and 60 degrees C. respectively. The enzyme demonstrated 65% relative enzyme activity at 37 degrees C. The hydrolytic activity of the crude enzymatic preparation was assessed on various agro residues. Thin-layer chromatographic analysis showed that the enzyme activity to saccharify heteromannans resulted in production of a mixture of manno-oligosaccharides (MOS) and enzyme exhibited classic endo-activity. To evaluate the possible prebiotic potential of the MOS thus obtained. initial screening for their ability to support the growth of probiotics was carried out by the pure culture method. Bifidobacterium and Lactobacillus sp. responded positively to the addition of enzymatically derived oligosaccharides and their numbers increased significantly. (C) 2015 International Union of Biochemistry and Molecular Biology. Inc....,biochemistry,biochemistry,Molecular biology,Enzymology
25,Serotonin N-hydroxycinnamoyltransferase (SHT) is a key enzyme in the synthesis of feruloylserotonin (FS) and 4-coumaroylserotonin (CS). These serotonin derivatives show strong antioxidant activity. making them valuable for both nutritional and pharmacological use in humans. Ectopic expression of SHT under the control of the endosperm specific-glutelin and prolamin promoters from rice was produced via Agrobacterium-mediated transformation. SHT expression was confirmed by Southern blot analysis. followed by Northern blotting and SHT enzyme activity analyses using total RNA and protein. respectively. extracted from transgenic seeds. The glutelin A3 (GluA3) promoter produced low SHT mRNA expression in rice seeds. whereas the prolamin promoter expressed high levels of SHT mRNA. In spite of the ectopic expression of SHT in rice seeds. both transgenic genotypes accumulated levels of serotonin derivatives similar to those found in wild-type rice. Furthermore. our data suggest that serotonin. rather than phenylpropanid-CoAs. is the rate-limiting substrate in the biosynthesis of serotonin derivatives in SHT-overexpressing transgenic rice seeds....,biochemistry,biochemistry,Northern blotting,Enzymology
26,A compact. low-noise and inexpensive preamplifier circuit has been designed and fabricated to optimally readout a common cathode (1 x 16) channel 4H-SiC Schottky photodiode array for use in ultraviolet experiments. The readout uses an operational amplifier with 10 pF capacitor in the feedback loop in parallel with a low leakage switch for each of the channels. This circuit configuration allows for reiterative sample. integrate and reset. A sampling technique is given to remove Johnson noise. enabling a femtoampere level readout noise performance. Commercial-off-the-shelf acquisition electronics are used to digitize the preamplifier analog signals. The data logging acquisition electronics has a different integration circuit. which allows the bandwidth and gain to be independently adjusted. Using this readout. photoresponse measurements across the array between spectral wavelengths 200 nm and 370 nm are made to establish the array pixels external quantum efficiency. current responsivity and noise equivalent power. Published by Elsevier B.V....,ECE,ECE,Operational amplifier,Analog signal processing
27,Silicon RF power amplifiers (PAs) are in various RF front end modules (FEMs) today for handset and WLAN applications. Even though III-V semiconductor-based RF PAs can still offer superior frequency and breakdown performance with higher POUT and power-added-efficiency (PAE) and faster time-to-market. silicon-based RF PAs do have the advantages in offering higher monolithic integration with added functionalities (e.g.. on-chip digital control and selection on power level. modulation. frequency band. matching. predistortion. etc.). which can translate to lower cost and smaller sizes attractive for broadband multi-mode multi-band handset transmitters. Therefore. some key techniques for designing high-efficiency 4G/5G/WLAN broadband wireless silicon PAs will be discussed....,ECE,ECE,Digital control,Analog signal processing
28,Although gain of chromosome 5p is one of the most frequent DNA copy-number imbalances in cervical squamous cell carcinoma (SCC). the genes that drive its selection remain poorly understood. In a previous cross-sectional clinical study. we showed that the microRNA processor Drosha (located on chromosome 5p) demonstrates frequent copy-number gain and overexpression in cervical SCC. associated with altered microRNA profiles. Here. we have conducted gene depletion/overexpression experiments to demonstrate the functional significance of up-regulated Drosha in cervical SCC cells. Drosha depletion by RNA interference (RNAi) produced significant. specific reductions in cell motility/invasiveness in vitro. with a silent RNAi-resistant Drosha mutation providing phenotype rescue. Unsupervised hierarchical clustering following global profiling of 319 microRNAs in 18 cervical SCC cell line specimens generated two groups according to Drosha expression levels. Altering Drosha levels in individual SCC lines changed the group into which the cells clustered. with gene depletion effects being rescued by the RNAi-resistant mutation. Forty-five microRNAs showed significant differential expression between the groups. including four of 14 that were differentially expressed in association with Drosha levels in clinical samples. miR-31 up-regulation in Drosha-overexpressing samples/cell lines was the highest-ranked change (by adjusted p value) in both analyses. an observation validated by northern blotting. These functional data support the role of Drosha as an oncogene in cervical SCC. by affecting expression of cancer-associated microRNAs that have the potential to regulate numerous protein-coding genes. Copyright (C) 2011 Pathological Society of Great Britain and Ireland. Published by John Wiley & Sons. Ltd....,biochemistry,Medical,Northern blotting,Cancer
29,Aim: An RNA-seq analysis recently identified a 236-nucleotide transcript upstream from malS in Salmonella enterica serovar Typhi. Here. we investigated its molecular characteristics and function. Materials & methods: RACE and northern blotting were used to determine the molecular characteristics of the sequence. and mutagenesis. microarray. immunoblotting and an invasion assay were used to investigate the functions of the transcript. Results: The transcript was identified as the malS 5'-untranslated region (UTR). which could influence the expression of the flagellar and SPI-1 genes and the invasion of HeLa cells by S. Typhi. Deletion of bax increased the expression of the invasion genes and the invasive capacity of S. Typhi. whereas the expression of the malS 5'-UTR reduced the expression of bax. Conclusion: The malS 5'-UTR reduces the expression of bax and increases the invasive capacity of S. Typhi....,biochemistry,biochemistry,Northern blotting,DNA/RNA sequencing
30,This paper presents the design of a compact 60-GHz phase shifter that provides a 5-bit digital phase control and 360 degrees phase range for beam-forming systems. The phase shifter is designed using the proposed cross-coupled bridged T-type topology and switched-varactor reflective-type topology. The topologies are analyzed using a small-signal equivalent circuit model. Furthermore. the design equations are derived and investigated. To validate the theoretical analysis. 60-GHz 5-bit 360 degrees phase shifters are designed in a commercial 65-nm CMOS technology. The fabricated 360 degrees phase shifter features good performance of 32 phase states from 57 to 64 GHz with an rms phase error of 4.4 degrees. a total insertion loss of 14.3 +/- 2 dB. an rms gain error of 0.5 dB. P-1 dB of better than 9.5 dBm. and the power consumption of almost zero. To the best of our knowledge. the designed 360 degrees phase shifter with the size of 0.094 mm(2) is the smallest 5-bit passive phase shifter at frequencies around 60 GHz....,ECE,ECE,Digital control,Digital control
31,By differential high-throughput RNA sequencing (dRNA-seq) we have identified "product RNAs" (pRNAs) as short as 8-12 nucleotides that are synthesized by Bacillus subtilis RNA polymerase (RNAP) in vivo using the regulatory 6S-1 RNA as template. The dRNA-seq data were confirmed by in vitro transcription experiments and northern blotting. In our libraries. we were unable to detect statistically meaningful numbers of reads potentially representing pRNAs derived from 6S-2 RNA. However. pRNAs could be synthesized in vitro from 6S-2 RNA as template by the B. subtilis sigma(A) RNAP. 6S-1 pRNA levels are low during exponential. increase in stationary and burst during outgrowth from stationary phase. demonstrating that pRNA synthesis is a conserved regulatory mechanism. but a more dynamic and fine-tuning process than previously thought. Most pRNAs have a length of 8-15 nt. very few up to 24 nt. The average length of pRNAs tended to increase from stationary to outgrowth conditions. Synthesis of pRNA is initiated at C40 of 6S-1 RNA and U41 of 6S-2 RNA. yielding pRNAs with a 5'-terminal G or A residue. respectively. A B. subtilis 6S-1 RNA mutant strain encoding a pRNA with a 5'-terminal A residue showed the same relative distribution of similar to 14-nt pRNAs between the different growth states. but generally displayed lower pRNA levels than the reference strain encoding wild-type 6S-1 RNA. A similar to two-fold lower affinity of the C40U mutant 6S-1 RNA towards sigma(A) RNAP may have contributed to this reduction in pRNA levels. We infer that 6S-1 pRNA synthesis. although evolutionarily optimized for initiation with a + 1G residue. is not primarily regulated at the transcription initiation level via growth phase-dependent variations in the cellular GTP pool....,biochemistry,biochemistry,Northern blotting,DNA/RNA sequencing
32,The "central dogma" of molecular biology describes how information contained in DNA is transformed into RNA and finally into proteins. In order for proteins to maintain their functionality in both the parent cell and subsequent generations. it is essential that the information encoded in DNA and RNA remains unaltered. DNA and RNA are constantly exposed to damaging agents. which can modify nucleic acids and change the information they encode. While much is known about how cells respond to damaged DNA. the importance of protecting RNA has only become appreciated over the past decade. Modification of the nucleobase through oxidation and alkylation has long been known to affect its base-pairing properties during DNA replication. Similarly. recent studies have begun to highlight some of the unwanted consequences of chemical damage on mRNA decoding during translation. Oxidation and alkylation of mRNA appear to have drastic effects on the speed and fidelity of protein synthesis. As some mRNAs can persist for days in certain tissues. it is not surprising that it has recently emerged that mRNA-surveillance and RNA-repair pathways have evolved to clear or correct damaged mRNA....,biochemistry,biochemistry,Molecular biology,Molecular biology
33,A cDNA clone of Eucommia ulmoides Oliv. encoding auxin binding protein 1 (ABP1). one of the putative receptors of auxin. was isolated. and the seasonal expression of ABP1 in relation to IAA and ABA annual variation was investigated by different technical approaches including RT-PCR. real-time PCR. northern blotting. western blotting. and immunolocalization. In the cambial region. ABP1 expression at both the protein and the mRNA level was found to be high. low. and remarkably scarce in the active. quiescent. and resting stages. respectively. during cambium periodicity. The signal abundance of ABP1 follows the opposite pattern to ABA accumulation and correlates with auxin responsiveness of the cambial tissues. suggesting a role for ABP1 in mediating auxin-dependent regulation of cambial activation in the activity-dormancy cycle. This paper attempts to explain why IAA would 'boost' the reactivation of a quiescent cambium. and not that of a resting cambium. Results also show that ABP1 expression is improved by IAA. while inhibited by ABA....,biochemistry,biochemistry,Northern blotting,Cell biology
34,The monkey is an important experimental model in the pharmacological evaluation of new drugs. We isolated monkey multidrug resistance-associated protein 2 (MRP2) cDNA to examine expression profiles among various tissues and measured ATPase activity to assess substrate specificity. The amino acid sequence encoded by monkey MRP2 cDNA was very similar (96% identity) to the reported human MRP2 cDNA (GenBank accession no. NM_000392). The tissue distribution of MRP2 in monkeys was partially different from that in humans. We found relatively high expression of MRP2 in the monkey kidney and small intestine using Northern blotting. Substrate specificity was compared between human and monkey MRP2. The affinity of 17 beta-estradiol 17-(beta-D-glucuronide). methotrexate. vinblastine. and probenecid to monkey MRP2 was higher than that to human MRP2. Functional and expression differences between human and monkey MRP2 should be incorporated into the evaluation of candidate drugs. (C) 2008 Elsevier B.V. All rights reserved....,biochemistry,Medical,Northern blotting,Parkinson's Disease
35,Introduction: Most disseminated cancers remain fatal despite the availability of a variety of conventional and novel treatments including surgery. chemotherapy. radiotherapy. immunotherapy. and biologically targeted therapy. A major factor responsible for the failure of chemotherapy in the treatment of cancer is the development of multidrug resistance (MDR). The overexpression of various ABC transporters in cancer cells can efficiently remove the anticancer drug from the cell. thus causing the drug to lose its effect.Areas covered: In this review. we summarised the ongoing research related to the mechanism. function. and regulation of ABC transporters. We integrated our current knowledge at different levels from molecular biology to clinical trials. We also discussed potential therapeutic strategies of targeting ABC transporters to reverse MDR in cancer cells.Expert opinion: Involvement of various ABC transporters to cancer MDR lays the foundation for developing tailored therapies that can overcome MDR. An ideal MDR reversal agent should have broad-spectrum ABC-transporter inhibitory activity. be potent. have good pharmacokinetics. have no trans-stimulation effects. and have low or no toxicity. Alternatively. nanotechnology-based drug delivery systems containing both the cytotoxic drug and reversing agent may represent a useful approach to reversing MDR with minimal off-target toxicity....,biochemistry,Medical,Molecular biology,Cancer
36,PurposeDespite being the third most common ABCA4 variant observed in patients with Stargardt disease. the functional effect of the intronic ABCA4 variant c.5461-10T>C is unknown. The purpose of this study was to investigate the molecular effect of this variant. MethodsFibroblast samples from patients carrying the ABCA4 variant c.5461-10T>C were analysed by isolating total RNA. followed by real-time polymerase chain reaction (RT-PCR) using specific primers spanning the variant. For detection of ABCA4 protein. fibroblast samples were lysed and analysed by SDS-PAGE followed by immunoblotting using a monoclonal ABCA4 antibody. ResultsThe ABCA4 variant c.5461-10T>C causes a splicing defect resulting in the reduction of full-length mRNA in fibroblasts from patients and the presence of alternatively spliced mRNAs where exon 39-40 is skipped. A reduced level of full-length ABCA4 protein is observed compared to controls not carrying the variant. ConclusionsThis study describes the functional effect and the molecular mechanism of the pathogenic ABCA4 variant c.5461-10T>C. The variant is functionally important as it leads to splicing defects and a reduced level of ABCA4 protein....,biochemistry,Medical,Polymerase chain reaction,Idiopathic Pulmonary Fibrosis
37,Objective/Background: Matrix metalloproteinases (MMPs) have already been identified as key players in the pathogenesis of abdominal aortic aneurysm (AAA). However. the current data remain inconclusive. In this study. the expression of MMPs at mRNA and protein levels were investigated in relation to the degradation of collagen I and collagen III. Methods: Tissue samples were obtained from 40 patients with AAA undergoing open aortic repair. and from five healthy controls during kidney transplantation. Expression of MMPs 1. 2. 3. 7. 8. 9. and 12. and tissue inhibitor of metalloproteinase (TIMP)1. and TIMP2 were measured at the mRNA level using quantitative reverse transcription polymerase chain reaction. At the protein level. MMPs. collagen I. and collagen III. and their degradation products carboxy-terminal collagen cross-links (CTX)-I and CTX-III. were quantified via enzyme linked immunosorbent assay. In addition. immunohistochemistry and gelatine zymography were performed. Results: In AAA. significantly enhanced mRNA expression was observed for MMPs 3. 9. and 12 compared with controls (p <= .001). MMPs 3. 9. and 12 correlated significantly with macrophages (p = .007. p = .018. and p = .015. respectively). and synthetic smooth muscle cells with MMPs 1. 2. and 9 (p = .020. p = .018. and p = .027. respectively). At the protein level. MMPs 8. 9. and 12 were significantly elevated in AAA (p = .006. p = .0004. and p < .001. respectively). No significant correlation between mRNA and protein was observed for any MMP. AAA contained significantly reduced intact collagen I (twofold; p = .002). whereas collagen III was increased (4.6 fold; p < .001). Regarding degraded collagen I and III relative to intact collagens. observations were inverse (1.4 fold increase for CTX-1 [p < .001]; fivefold decrease for CTX-III [p = .004]). MMPs 8. 9. and 12 correlated with collagen I (p = .019. p < .001. and p = 0.003. respectively). collagen III (p = .015. p < .001. and p < .001. respectively). and degraded collagen I (p = .012. p = .049. and p = .001. respectively). Conclusion: No significant relationship was found between mRNA and protein and MMP levels. MMPs 9 and 12 were overexpressed in AAA at the mRNA and protein level. and MMP-8 at the protein level. MMP-2 was detected in synthetic SMCs. Collagen I and III showed inverse behaviour in AAA. In particular. MMPs 8. 9. and;12 appear to be associated with collagen I. collagen III. and their degradation products. (C) 2017 European Society for Vascular Surgery. Published by Elsevier Ltd. All rights reserved....,biochemistry,Medical,Polymerase chain reaction,Osteoarthritis
38,Purpose of review One of the most important challenges in the intestinal ( ITx) and multivisceral transplant ( MVTx) is to achieve a successful abdominal wall closure. Recent findings A tension-free primary closure should be our aim. In most of the cases. we need to perform a component separation technique. alone or combined. to the use of a synthetic mesh. If those options are not feasible. the abdominal wall composite vascularized allograft transplant ( AW-CVA) utilizing direct orthotopic vascularization can be considered. The nonvascularized abdominal rectus fascia has also become an alternative method used worldwide. proving to be simple and well tolerated procedure. Furthermore. the use of the AW has been recently proposed as a new tool for a sentinel monitoring of the intestinal or pancreas allograft. Summary There are different validated options for abdominal wall closure following intestinal transplantation. The long-term benefits of transplanting the abdominal wall. full or partial thickness and vascularized or nonvascularised. were shown. New developments might help to expand their applications in different areas such as reconstructive surgery and immunology....,biochemistry,Medical,Immunology,Digestive Health
39,The Arabidopsis thaliana late embryogenesis abundant gene AtEm6 is required for normal seed development and for buffering the rate of dehydration during the latter stages of seed maturation. However. its function in salt stress tolerance is not fully understood. In this investigation. cell suspension cultures of three plant species rice (Oryza sativa L.). cotton (Gossypium hirsutum L.). and white pine (Pinus strobes L.) were transformed using Agrobacterium tumefaciens strain LBA4404 harboring pBI-AtEm6. Integration of the AtEm6 gene into the genome of rice. cotton. and white pine has been confirmed by polymerase chain reaction. Southern blotting. and northern blotting analyses. Three transgenic cell lines from each of O. sativa. G. hirsutum. and P. strobus were used to analyze salt stress tolerance conferred by the overexpression of the AtEm6 gene. Our results demonstrated that expression of the AtEm6 gene enhanced salt tolerance in transgenic cell lines. A decrease in lipid peroxidation and an increment in antioxidant enzymes ascorbate peroxidase. glutathione reductase and superoxide dismutase activities were observed in the transgenic cell lines. compared to the non- transgenic control. In rice. AtEM6 increased expression of Ca2+-dependent protein kinase genes OsCPK6. OsCPK9. OsCPK10. OsCPK19. OsCPK25. and OsCPK26 under treatment of salt. These results suggested that overexpression of the AtEM6 gene in transgenic cell lines improved salt stress tolerance by regulating expression of Ca2+-dependent protein kinase genes. Overexpression of the AtEM6 gene could be an alternative choice for engineering plant abiotic stress tolerance....,biochemistry,biochemistry,Northern blotting,Molecular biology
40,A novel gene. named NgAOX1a. was isolated from Nicotiana glutinosa by RT-PCR (reverse transcription-PCR). The full-length cDNA of NgAOX1a was 1448 bp. including a 1062-bp ORF (open reading frame). a 124 bp 5' UTR (untranslated region) and a 262 bp 3' UTR. The ORF encodes a 353-amino-acid protein which contains two conserved cysteine residues. four iron-binding motifs. five alpha-helix regions and six conserved histidine residues. The phylogenetic tree showed that NgAOX1a belongs to the AQX1 (alternative oxidase 1)-type group. Alignment analysis showed that NgAOX1a shares a high similarity with other known AOXs. Four exons and three introns were detected in the genomic DNA sequence. and Southern-blotting analysis suggested that NgAOX1a is a single-copy gene. A series of putative cis-acting elements were examined in the 5'-flanking region of NgAOX1a. Northern-blotting analysis showed that the transcript levels of NgAOX1a can be markedly accumulated when tobacco seedlings are treated with various abiotic stimuli. such as exogenous signalling molecules for plant defence response. salicylic acid and H2O2. and the exogenous TCA (tricarboxylic acid) cycle metabolite citrate. However. it could be suppressed by abiotic stress. such as CoCl2. an inhibitor of ethylene. which indicates that the expression of NgAOX1a may be regulated by ethylene. In addition. NgAOX1a can also be strongly induced by three viral pathogens. tobacco mosaic virus. potato virus X and potato virus Y. These results indicate that NgAOX1a may be involved in multi-signal transduction pathways and may play an important role in defence response....,biochemistry,biochemistry,Northern blotting,Molecular biology
41,To identify genes expression in Chenopodium album exposed to NaCl stress and screen ESTs related to salt stress. a subtractive suppression hybridization (SSH) library of C. album under salt stress was constructed in the present study. Random EST sequencing produced 825 high-quality ESTs with GenBank ID GE746311-GE747007. which had 301 bp of average size and were clustered into 88 contigs and 550 singletons. They were classified into 12 categories according to their function annotations. 635 ESTs (76.97%) showed similarities to gene sequences in the non-redundancy database. while 190 ESTs (23.03%) showed low or no similarities. The transcriptional profiles of 56 ESTs randomly selected from 347 unknown or novel ESTs of SSH library under varying NaCl concentration and at different time points were analyzed. The results indicated that a high proportion of tested ESTs were activated by salt stress. Four in 56 ESTs responded to NaCl were also enhanced in expression level when exposed to ABA and PEG stresses. The above four ESTs were validated by northern blotting which was consistent with the results of RT-PCR. The results suggested that genes corresponded to these ESTs might be involved in stress response or regulation. The complete sequences and detailed function of these ESTs need to be further studied....,biochemistry,biochemistry,Northern blotting,DNA/RNA sequencing
42,Phosphorylation of protein kinases has profound effects on their activity and interaction with other proteins. Tyrosine phosphorylation was reported to be involved in various physiological processes in plants; however. no typical receptor tyrosine kinase has been isolated from plants thus far. Dual-specificity kinases are potentially responsible for the phosphorylation of both tyrosine and serine/threonine of target proteins. A cDNA clone encoding a putative dual-specificity protein kinase was isolated by screening the cDNA GAL4 activation domain (AD) fusion library of soybean (Glycine max L.). and its entire length was obtained using 5'-rapid amplification of cDNA ends. The predicted polypeptide of 330 amino acid residues. designated as GmSTY1. contains all 11 conserved subdomains. which share common characteristics with both the serine/ threonine and tyrosine protein kinases reported thus far. In addition. three potential N-linked glycosylation sites (NXS/T). as well as phosphorylation motifs (SXXXS/T). were observed. suggesting that GmSTY1 may be post-translationally modified. Furthermore. a potential N-myristoylation motif (MGARCSK) was found. suggesting that the GmSTY1 protein could associate with membranes in vivo. Southern blotting analysis revealed a single-copy of GmSTY1 in the genome. Northern blotting analysis showed that this gene was upregulated by drought and salt treatment in a time-dependent manner; however. exogenous abscisic acid (ABA) could not significantly affect the mRNA accumulation of GmSTY1. Interestingly. the transcript of this gene was remarkably downregulated by cold treatment during the early stages of the response. but upregulated later. These results indicate that the protein kinase was possibly regulated by abiotic stresses in an ABA-independent pathway....,biochemistry,biochemistry,Northern blotting,Molecular biology
43,Mitogen-activated protein kinase (MAPK) cascades are signalling modules that transduce extracellular signalling to a range of cellular responses. Plant MAPK cascades have been implicated in development and stress response. In this study. we isolated a novel group C MAPKK gene. ZmMKK4. from maize. Northern blotting analysis revealed that the ZmMKK4 transcript expression was up-regulated by cold. high salt and exogenous H(2)O(2). but down-regulated by exogenous abscisic acid (ABA). Over-expression of ZmMKK4 in Arabidopsis conferred tolerance to cold and salt stresses by increased germination rate. lateral root numbers. plant survival rate. chlorophyll. proline and soluble sugar contents. and antioxidant enzyme [peroxidase (POD). catalase (CAT)] activities compared with control plants. Furthermore. ZmMKK4 enhanced a 37 kDa kinase activity after cold and salt stresses. RT-PCR analysis revealed that the transcript levels of stress-responsive transcription factors and functional genes were higher in ZmMKK4-over-expressing plants than in control plants. In addition. ZmMKK4 protein is localized in the nucleus. Taken together. these results indicate that ZmMKK4 is a positive regulator of salt and cold tolerance in plants....,biochemistry,biochemistry,Northern blotting,Molecular biology
44,Citrullus colocynthis (L.) Schrad. is commonly known as colocynth. The fruit pulp of colocynth has medicinal properties while the seeds have nutritive qualities. C. colosynthis is resistant to high temperatures and grows in the desert regions of North Africa. the Middle East and Western Asia. C. colocynthis likely carries genes of interest that could be explored for inducing abiotic stress resistance in transgenic plants. Although the tissue culture and molecular biology of this species have been explored. the latter has been primarily used to resolve taxonomic relationships with other members of the Citrullus genus and curcubits. Genetic mining of the plant is scarce while genetic transformation protocols are also rare. The aim of the present review is to present a brief overview of the biotechnological perspectives of C. colocynthis....,biochemistry,biochemistry,Molecular biology,Molecular biology
45,Purpose of review This review provides an update and summary of recent neuropsychological findings in epilepsy focusing on three major clinical topics among the many developments in the field. We will critically outline the current state with regard to cognition in new-onset epilepsies. social cognition in epilepsy. and the long-term outcome of epilepsy surgery and the cognitive outcomes of superselective surgical procedures. Recent findings Current studies indicate that neuropsychological impairments are prevalent already at the onset of epilepsy and even before. social cognition (i.e.. emotion recognition and theory of mind) is impaired in different epilepsy populations. the long-term outcome of epilepsy surgery is mostly characterized by a stable or even improved cognitive status. and superselective epilepsy surgeries are associated with a promising neuropsychological outcome. Summary The high prevalence of cognitive deficits around epilepsy onset challenges the assumption that epilepsy is the major cause of cognitive problems and calls for early neuropsychological diagnostics. Social cognition seems to be a relevant domain that is not yet routinely considered in epilepsy. The cognitive long-term outcome of epilepsy surgery is mostly positive. Stereotactic thermocoagulation and gamma knife surgery appear to be cognitively safe procedures....,Psychology,Medical,Social cognition,Schizophrenia
46,microRNAs (miRNAs) play a crucial role in tissue development and the pathology of many diseases. however. the effects and roles of miRNAs in the development of semen abnormalities in infertile males have not yet been investigated. In this study. we analyzed and compared the miRNA expression profiles of abnormal semen from 86 infertile males with normal semen from 86 healthy males using an miRNA microarray. In total. 52 miRNAs were differentially expressed between the abnormal semen of infertile males and the normal semen of healthy males. The differential expression of selected miRNAs was validated by real time qRT-PCR and northern blotting: miR-574-5p. miR-297. miR-122. miR-1275. miR-373. miR-185 and miR-193b were upregulated (fold change >1.5. p<0.001) and miR-100. miR-512-3p. miR-16. miR-19b. miR-23b and miR-26a were downregulated (fold change <0.667. p<0.001) in the semen of infertile males with semen abnormalities. In conclusion. this study provides new insights into specific miRNAs that arc associated with semen abnormalities in infertile males....,biochemistry,Medical,Northern blotting,Low Testosterone
47,Background: Respiratory morbidity in Australian Indigenous children is higher than their non-Indigenous counterparts. irrespective of urban or remote residence. There are limited studies addressing acute respiratory illness (ARI) in urban Indigenous children. particularly those that address the upper airway microbiome and its relationship to disease. We aimed to describe the prevalence of upper airway viruses and bacteria in symptomatic and asymptomatic urban-based Australian Indigenous children aged less than 5 years. Methods: A cross-sectional analysis of data collected at baseline in an ongoing prospective cohort study of urban Aboriginal and Torres Strait Islander children registered with a primary health care service in the northern suburbs of Brisbane. Australia. Clinical. demographic and epidemiological data and bilateral anterior nasal swabs were collected on enrolment. Polymerase chain reaction was performed on nasal swabs to detect 17 respiratory viruses and 7 bacteria. The primary outcome was the prevalence of these microbes at enrolment. Logistic regression was performed to investigate differences in microbe prevalence between children with and without acute respiratory illness with cough as a symptom (ARIwC) at time of specimen collection. Results: Between February 2013 and October 2015. 164 children were enrolled. The median age at enrolment was 18. 0 months (IQR 7.2-34.3). 49.4% were boys and 56 children (34.2%) had ARIwC. Overall. 133/164 (81%) nasal swabs were positive for at least one organism; 131 (79.9%) for any bacteria. 59 (36.2%) for any virus and 57 (34.8%) for both viruses and bacteria. Co-detection of viruses and bacteria was more common in females than males (61.4% vs 38.6%. p = 0.044). No microbes. alone or in combination. were significantly associated with the presence of ARIwC. Conclusions: The prevalence of upper airways microbes in asymptomatic children is similar to non-Indigenous children with ARIwC from the same region. Determining the aetiology of ARIwC in this community is complicated by the high prevalence of multiple respiratory pathogens in the upper airways....,biochemistry,Medical,Polymerase chain reaction,Children's Health
48,We identified a Nodulin-related protein 1 (NRP1) encoded by At2g03440. which was previously reported to be RPS2 interacting protein in yeast-two-hybrid assay. Northern blotting showed that AtNRP1 expression was suppressed by heat stress (42A degrees C) and induced by low temperature (4A degrees C) treatment. Strong GUS staining was observed in the sites of meristematic tissues of pAtNRP1:: GUS transgenic plants. such as shoot apex and root tips. young leaf veins. stamens and stigmas of flowers. and abscission layers of young siliques. To study AtNRP1 biological functions. we have characterized both loss-of-function T-DNA insertion and transgenic overexpression plants for AtNRP1 in Arabidopsis. The T-DNA insertion mutants displayed no obvious difference as compared to wild-type Arabidopsis under heat stress. but the significant enhanced susceptibility to heat stress was revealed in two independent AtNRP1-overexpressing transgenic lines. Further study found that the decreased thermtolerance in AtNRP1-overexpressing lines accompanied significantly decreased accumulation of ABA after heat treatment. which was probably due to AtNRP1 playing a role in negative-feedback regulation of the ABA synthesis pathway. These results support the viewpoint that the application of ABA inhibits nodulation and nodulin-related gene expression and threaten adverse ambient temperature can impact the nodulin-related gene expression....,biochemistry,biochemistry,Northern blotting,Northern blotting
49,Although a great deal of progress has been made toward understanding the role of abscisic acid (ABA) in fruit ripening. many components in the ABA signalling pathway remain to be elucidated. Here. a strawberry gene homologous to the Arabidopsis gene ABI1. named FaABI1. was isolated and characterized. The 1641bp cDNA includes an intact open reading frame that encodes a deduced protein of 546 amino acids. in which putative conserved domains were determined by homology analysis. Transcriptional analysis showed that the levels of FaABI1 mRNA expression declined rapidly during strawberry fruit development as evidenced by real-time PCR. semi-quantitative reverse transcriptionPCR. and northern blotting analyses. suggesting that the Ser/Thr protein phosphatase PP2C1 encoded by FaABI1 may be involved in fruit ripening as a negative regulator. The results of Tobacco rattle virus-induced gene silencing and PBI121 vector-mediated overexpression suggested that the down- and up-regulation of FaABI1 mRNA expression levels in degreening strawberry fruit could promote and inhibit ripening. respectively. Furthermore. alteration of FaABI1 expression could differentially regulate the transcripts of a set of both ABA-responsive and ripening-related genes. including ABI3. ABI4. ABI5. SnRK2. ABRE1. CHS. PG1. PL. CHI. F3H. DFR. ANS. and UFGT. Taken together. the data provide new evidence for an important role for ABA in regulating strawberry fruit ripening in the processes of which the type 2C protein phosphatase ABI1 serves as a negative regulator. Finally. a possible core mechanism underlying ABA perception and signalling transduction in strawberry fruit ripening is discussed....,biochemistry,biochemistry,Northern blotting,Molecular biology
